#Ke Fang and Brian D. Metzger 2017 ApJ 849 153, https://doi.org/10.3847/1538-4357/aa8b6a
#BNS merger fluence from Fig.4, for 1e6.5 -- 1e7.5 sec
##Energy [GeV],   Fluence [GeV cm^-2] (All flavors)

1778279.4100389192, 0.010152639075520532
2076384.0890834543, 0.011813223510535832
2478738.824775334, 0.014168236234812854
2894266.1247167517, 0.016237767391887235
3379451.0002247365, 0.019182037551245406
3859565.9076940687, 0.021983926488622924
4506570.337745468, 0.02597010372492911
5262036.377863322, 0.029316037135681677
6009608.130935092, 0.03359818286283786
7017038.286703837, 0.03909356382652742
8193350.588635765, 0.04413029616837806
9357370.945630178, 0.049815950486132764
10686762.40164437, 0.056234132519034995
12478254.704700181, 0.061584821106602704
14570066.651001269, 0.06847409732645503
15919267.369421577, 0.07613405252175257
18180900.273565255, 0.0846508998249407
21228684.221461933, 0.09701571868867787
23713737.056616552, 0.1078685241641837
27082721.744346183, 0.1181322351053582
32330720.612452112, 0.13335214321633246
36115389.88740132, 0.14604062544007457
44078902.14962053, 0.16237767391887217
55002776.812652364, 0.16992730039047427
67130993.86829804, 0.2100721213497355
87560391.01412345, 0.22660169698035285
109260086.11173779, 0.21653410827564365
142510267.03029963, 0.21327864278928124
173934052.36187792, 0.21983926488622926
198644672.9478657, 0.1977209240989112
221898234.14589742, 0.1805422902555475
237137370.56616554, 0.1575318673423516
259096495.2837032, 0.139552249709876
283089053.85946876, 0.1199353946209235
330545134.7573252, 0.10464942395675292
361153898.8740132, 0.09555714328759791
369239107.29495466, 0.0846508998249407
385956590.7694077, 0.07275152565886613
412462638.2901348, 0.05796393953384976
440789021.4962072, 0.04688702004672824
471060754.19832784, 0.03909356382652742
514681385.67569447, 0.03259551857071834
550027768.1265259, 0.026768964942956164
562341325.1903491, 0.02165341082756441
587801607.22749, 0.016737254139191644
587801607.22749, 0.013745416208713357
600960813.0935117, 0.010152639075520532
