#Ke Fang and Brian D. Metzger 2017 ApJ 849 153, https://doi.org/10.3847/1538-4357/aa8b6a
#BNS merger fluence from Fig.4, for 1e4.5 -- 1e5.5 sec
##Energy [GeV],	 Fluence [GeV cm^-2] (All flavors)

617209.7839249627, 0.010746078283213169
761287.9838300138, 0.013335214321633248
999999.9999999979, 0.016311729092278387
1233434.7310388186, 0.021752040340195233
1553616.9957900094, 0.025852348395621925
1916285.1613395913, 0.03254617834980462
2680686.416277032, 0.048000968490811174
3910705.6182068274, 0.06978305848598666
5586664.865936275, 0.09857119009006164
8499335.364065878, 0.15179239032493846
13484676.953071628, 0.244061906804198
22784052.8578344, 0.37046740221071556
40997395.1871223, 0.5956621435290109
66423761.02078537, 0.7717915155850127
112231274.60750887, 1.0144952080687364
163728018.86900824, 1.0901844923851285
210601962.85184526, 1.2589254117941682
327194788.833363, 1.3724609610075624
429791085.3488792, 1.6311729092278398
541358791.0522673, 1.5622480814652915
789758493.4883999, 1.6078665490525617
1128214818.2172484, 1.392355068203585
1391579340.8618069, 1.1220184543019642
1645890396.3388612, 0.878516656407272
1827927631.0927875, 0.6219421634147768
2073140336.1781397, 0.44668359215096326
2351247817.6826825, 0.32546178349804616
2780938239.669469, 0.21441245032200748
3088512977.5116453, 0.1453784385607663
3358890915.491679, 0.10144952080687368
3652938570.865985, 0.0640103202470931
4056957476.1622305, 0.044030133272024145
4320512913.392855, 0.0307255736526745
4698743920.043933, 0.022387211385683413
5003992253.446084, 0.016548170999431806
5329070683.280458, 0.012409377607517189
