#Ke Fang and Brian D. Metzger 2017 ApJ 849 153, https://doi.org/10.3847/1538-4357/aa8b6a
#BNS merger fluence from Fig.4, for 1e3.5 -- 1e4.5 sec
#Energy [GeV],   Fluence [GeV cm^-2] (All flavors)

3233072.0612452044, 0.010951501934480216
3945970.6090564444, 0.013745416208713357
5262036.377863322, 0.01699273003904746
7174129.812567461, 0.019182037551245406
10223871.552990265, 0.02100721213497357
15229733.635477114, 0.02165341082756441
19004049.53882229, 0.024816289228368277
24787388.247753337, 0.028875287417994517
31622776.60168379, 0.03463168991269758
39459706.09056452, 0.04281332398719402
45065703.37745468, 0.05292784485692642
58780160.72274924, 0.06065892882481425
70170382.86703837, 0.0749894209332457
89520619.08580013, 0.0846508998249407
104527549.53204358, 0.07165774841172143
124782547.04700233, 0.05974695679970716
145700666.5100127, 0.048329302385717594
170125427.98525858, 0.04029611320200406
207638408.90834627, 0.03516030482589628
242446201.7082331, 0.03021782194878797
276890268.4195707, 0.024075701346762422
337945100.02247363, 0.01977209240989114
394597060.90564525, 0.01699273003904746
440789021.4962072, 0.014168236234812854
526203637.7863344, 0.011635618505359088
